name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
Hobart William Smith Colleges,New-York,56500,108500,46,18,0.92,22
Hofstra University,New-York,57300,110400,38,7,0.927,18
Holy Cross College,Indiana,48100,87800,0,0,0.825,15
Hood College,Maryland,47900,82600,49,32,0.724,25
Hope College,Michigan,49200,90900,51,18,0.848,14
Huntingdon College,Alabama,42400,78900,69,14,0.861,14
Husson University,Maine,43300,77600,52,1,0.792,10
Idaho State University,Idaho,50800,91800,64,12,0.807,3
Illinois Institute of Technology,Illinois,64600,118500,47,64,0.834,1
Illinois State University,Illinois,51200,95000,47,10,0.855,16
Illinois Wesleyan University,Illinois,53100,96000,44,18,0.808,12
Independence University,Utah,40500,74100,78,2,0.83,10
Indiana Institute of Technology,Indiana,50000,84900,46,11,0.698,19
Indiana State University,Indiana,47900,85600,55,8,0.787,17
Indiana University-Bloomington,Indiana,53600,97100,47,16,0.812,9
Indiana University-Purdue University-Fort Wayne,Indiana,47300,83200,52,17,0.759,24
Indiana University-Purdue University-Indianapolis,Indiana,50500,88200,55,15,0.747,14
Iowa State University,Iowa,56100,101300,48,31,0.806,1
Iowa Wesleyan University,Iowa,42600,77200,60,8,0.812,25
Jackson State University,Mississippi,41700,74600,67,16,0.789,6
Jacksonville State University,Alabama,43800,80000,61,7,0.826,12
Jacksonville University,Florida,50100,90400,66,5,0.804,12
James Madison University,Virginia,57400,102600,42,12,0.787,9
Jefferson College of Health Sciences,Virginia,55500,97600,86,1,0.759,11
John Brown University,Arkansas,47000,82700,53,9,0.76,5
John Carroll University,Ohio,51600,97300,39,16,0.886,11
John Wesley University,North-Carolina,45100,82100,0,0,0.82,18
Johns Hopkins University,Maryland,67200,117100,57,31,0.743,3
Johnson & Wales University-Denver,Colorado,41500,74800,39,0,0.802,18
Johnson & Wales University-Online,Rhode-Island,46200,81600,43,0,0.766,10
Johnson & Wales University-Providence,Rhode-Island,46500,78900,41,5,0.697,11
Johnson C Smith University,North-Carolina,45700,83300,57,16,0.823,13
Johnson State College,Vermont,39500,72100,46,2,0.825,14
Judson College,Alabama,37900,67600,65,13,0.784,23
Kalamazoo College,Michigan,51600,94500,52,31,0.831,8
Kansas City Art Institute,Missouri,42500,77700,37,0,0.828,22
Kansas State University,Kansas,52500,97200,51,18,0.851,2
Kansas Wesleyan University,Kansas,44700,79400,61,10,0.776,15
Kean University,New-Jersey,48200,90000,51,10,0.867,22
Keene State College,New-Hampshire,48900,83600,49,8,0.71,10
Kennesaw State University,Georgia,52500,94600,46,22,0.802,5
Kentucky Christian University,Kentucky,39600,70300,68,3,0.775,22
Kentucky State University,Kentucky,40700,73100,57,13,0.796,18
Kentucky Wesleyan College,Kentucky,42100,76800,65,14,0.824,14
Kenyon College,Ohio,55000,103800,50,17,0.887,7
Kettering College,Ohio,54300,95800,0,0,0.764,14
Kettering University,Michigan,69900,125000,44,74,0.788,1
Knox College,Illinois,50600,95400,45,24,0.885,15
La Salle University,Pennsylvania,55800,104800,40,5,0.878,15
Lafayette College,Pennsylvania,66500,122500,37,47,0.842,6
Lake Forest College,Illinois,55400,102600,46,21,0.852,9
Lake Superior State University,Michigan,45900,83500,48,14,0.819,24
Lakeview College of Nursing,Illinois,55000,94100,83,0,0.711,18
Lamar University,Texas,53300,101200,57,16,0.899,13
Lander University,South-Carolina,42600,77100,54,9,0.81,15
Langston University,Oklahoma,46500,81500,66,8,0.753,11
Lawrence Technological University,Michigan,57900,108400,49,60,0.872,4
Lawrence University,Wisconsin,51500,98800,58,25,0.918,5
Lehigh University,Pennsylvania,69500,134100,45,52,0.929,2
Lenoir-Rhyne University,North-Carolina,46400,86300,54,7,0.86,10
LeTourneau University,Texas,56600,98900,53,21,0.747,18
Lewis & Clark College,Oregon,50000,93200,51,12,0.864,10
Lewis University,Illinois,49700,89800,53,14,0.807,25
Lewis-Clark State College,Idaho,44900,77600,60,5,0.728,7
Limestone College,South-Carolina,42100,76500,57,10,0.817,16
Lindenwood University,Missouri,45100,78500,48,9,0.741,21
Lindsey Wilson College,Kentucky,35300,64100,52,2,0.816,25
Linfield College-McMinnville Campus,Oregon,52100,92000,48,17,0.766,11
Linfield College-Online and Continuing Education,Oregon,50900,94000,0,0,0.847,8
Lipscomb University,Tennessee,49000,84800,59,12,0.731,9
Longwood University,Virginia,47300,83300,54,9,0.761,21
Loras College,Iowa,48000,90100,56,14,0.877,7
Louisiana College,Louisiana,44800,79800,58,4,0.781,17
Louisiana State University and Agricultural & Mechanical College,Louisiana,54800,102900,53,24,0.878,2
Louisiana State University Health Sciences Center-New Orleans,Louisiana,52300,94200,86,2,0.801,4
Louisiana State University-Shreveport,Louisiana,44500,79800,54,10,0.793,17
Louisiana Tech University,Louisiana,53100,100700,57,24,0.896,3
Loyola Marymount University,California,58500,113300,39,9,0.937,18
Loyola University Chicago,Illinois,53400,96000,45,15,0.798,12
Loyola University Maryland,Maryland,59900,111200,40,8,0.856,5
Loyola University New Orleans,Louisiana,47900,88600,47,4,0.85,9
Luther College,Iowa,48200,85900,49,21,0.782,14
Lynchburg College,Virginia,47700,89100,54,11,0.868,15
Lyndon State College,Vermont,41500,75100,49,8,0.81,13
Lynn University,Florida,46100,85000,45,2,0.844,22
Lyon College,Arkansas,41200,74300,53,33,0.803,15
Macalester College,Minnesota,53600,100400,51,31,0.873,6
Maharishi University of Management,Iowa,46800,85200,0,65,0.821,16
Maine College of Art,Maine,36300,64600,37,0,0.78,17
Maine Maritime Academy,Maine,67000,121800,65,48,0.818,1
Manchester University,Indiana,46900,84700,56,10,0.806,20
Manhattan Christian College,Kansas,39400,72200,0,0,0.832,24
Manhattan College,New-York,64000,125700,46,40,0.964,12
Marian University (Indiana),Indiana,48400,82000,51,3,0.694,25
Marian University (Wisconsin),Wisconsin,46500,90800,52,2,0.953,8
Marietta College,Ohio,51200,94300,57,45,0.842,15
Marquette University,Wisconsin,57800,105900,52,25,0.832,2
Marshall University,West-Virginia,45000,79700,50,12,0.771,9
Maryland Institute College of Art,Maryland,49000,84500,40,0,0.724,24
Marylhurst University,Oregon,46200,79800,63,0,0.727,19
Marymount University,Virginia,52300,93100,44,15,0.78,12
Maryville College,Tennessee,42800,75300,68,16,0.759,24
Maryville University of Saint Louis,Missouri,46800,80100,53,2,0.712,18
Massachusetts Institute of Technology,Massachusetts,86300,155200,52,69,0.798,1
Massachusetts Maritime Academy,Massachusetts,67900,117500,53,47,0.73,8
